web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286582-1280","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Malzahar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Malzahar/","Ryze",""
"1515286761-1732","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jarvan IV","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/JarvanIV/","Twitch",""
"1515286727-1646","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kalista","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kalista/","Draven",""
"1515286305-657","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Soraka","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Soraka/","Nautilus",""
"1515286695-1550","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kayle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kayle/","Ryze",""
"1515286275-582","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Taliyah","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Taliyah/","Ezreal",""
"1515286770-1760","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Janna","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Janna/","","Zyra"
"1515286322-694","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Skarner","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Skarner/","","Shyvana"
"1515286733-1673","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jinx","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jinx/","","Tristana"
"1515286096-249","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Volibear","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Volibear/","","Alistar"
"1515287091-2473","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ahri","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ahri/","Zed",""
"1515286262-561","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Talon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Talon/","Kayle",""
